Unnamed: 0;GSDB_NO;B_P_RATIO;PRESSURE_RATIO;RATED_THRUST_KN_;HC_EI_T_O_G_KG_;HC_EI_C_O_G_KG_;HC_EI_APP_G_KG_;HC_EI_IDLE_G_KG_;HC_NUMBER_TEST;HC_NUMBER_ENG;HC_DP_FOO_AVG_G_KN_;HC_DP_FOO_SIGMA_G_KN_;HC_DP_FOO_MIN_G_KN_;HC_DP_FOO_MAX_G_KN_;HC_DP_FOO_CHARACTERISTIC_G_KN_;HC_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;HC_LTO_TOTAL_MASS_G_;CO_EI_T_O_G_KG_;CO_EI_C_O_G_KG_;CO_EI_APP_G_KG_;CO_EI_IDLE_G_KG_;CO_NUMBER_TEST;CO_NUMBER_ENG;CO_DP_FOO_AVG_G_KN_;CO_DP_FOO_SIGMA_G_KN_;CO_DP_FOO_MIN_G_KN_;CO_DP_FOO_MAX_G_KN_;CO_DP_FOO_CHARACTERISTIC_G_KN_;CO_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;CO_LTO_TOTAL_MASS_G_;NOX_EI_T_O_G_KG_;NOX_EI_C_O_G_KG_;NOX_EI_APP_G_KG_;NOX_EI_IDLE_G_KG_;NOX_NUMBER_TEST;NOX_NUMBER_ENG;NOX_DP_FOO_AVG_G_KN_;NOX_DP_FOO_SIGMA_G_KN_;NOX_DP_FOO_MIN_G_KN_;NOX_DP_FOO_MAX_G_KN_;NOX_DP_FOO_CHARACTERISTIC_G_KN_;NOX_DP_FOO_CHARACTERISTIC_OF_ORIGINAL_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_2_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_4_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_6_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_8_STANDARD_;NOX_LTO_TOTAL_MASS_G_;SN_T_O;SN_C_O;SN_APP;SN_IDLE;SN_NUMBER_TEST;SN_NUMBER_ENG;SN_MAX;SN_SIGMA;SN_RANGE_MIN;SN_RANGE_MAX;SN_CHARACTERISTIC;SN_CHARACTERISTIC_OF_REG_LIMIT_;FUEL_H_C_RATIO_MIN;FUEL_H_C_RATIO_MAX;FUEL_AROM_MIN_;FUEL_AROM_MAX_;FUEL_FLOW_T_O_KG_SEC_;FUEL_FLOW_C_O_KG_SEC_;FUEL_FLOW_APP_KG_SEC_;FUEL_FLOW_IDLE_KG_SEC_;FUEL_LTO_CYCLE_KG_;LOADS_POWER_EXTRACTION_KW_;AMBIENT_BARO_MIN_KPA_;AMBIENT_BARO_MAX_KPA_;AMBIENT_TEMP_MIN_K_;AMBIENT_TEMP_MAX_K_;HUMIDITY_MIN_KG_KG_;HUMIDITY_MAX_KG_KG_
11;8,0;5,1;27,7;117,0;0,02;0,02;0,05;1,75;7,0;3,0;2,58;0,37;2,18;2,91;3,01;15,4;302,0;0,25;0,16;3,07;30,94;7,0;3,0;46,81;2,6;43,8;48,7;50,6;42,9;5476,0;21,79;17,08;8,93;4,27;7,0;3,0;40,71;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;4763,0;13,1;9,8;2,1;2,1;7,0;3,0;13,07;4,1;8,4;16,2;14,37;63,4;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
13;11,0;5,1;27,7;117,0;0,02;0,02;0,05;1,75;7,0;3,0;2,58;0,37;2,18;2,91;3,01;15,4;302,0;0,2;0,16;3,07;30,94;7,0;3,0;46,81;2,6;43,8;48,7;50,6;42,9;5476,0;21,79;17,08;8,93;4,27;7,0;3,0;40,71;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;4762,0;13,1;9,8;2,1;2,1;7,0;3,0;13,07;4,1;8,4;16,2;14,37;63,4;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
14;11,0;5,1;27,7;117,0;0,02;0,02;0,05;1,75;7,0;3,0;2,58;0,37;2,18;2,91;3,01;15,4;302,0;0,2;0,16;3,07;30,94;7,0;3,0;46,81;2,6;43,8;48,7;50,6;42,9;5476,0;21,79;17,08;8,93;4,27;7,0;3,0;40,71;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;4762,0;13,1;9,8;2,1;2,1;7,0;3,0;13,07;4,1;8,4;16,2;14,37;63,4;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
15;11,0;5,1;27,7;117,0;0,02;0,02;0,05;1,75;7,0;3,0;2,58;0,37;2,18;2,91;3,01;15,4;302,0;0,2;0,16;3,07;30,94;7,0;3,0;46,81;2,6;43,8;48,7;50,6;42,9;5476,0;21,79;17,08;8,93;4,27;7,0;3,0;40,71;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;4762,0;13,1;9,8;2,1;2,1;7,0;3,0;13,07;4,1;8,4;16,2;14,37;63,4;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
16;11,0;5,1;27,7;117,0;0,02;0,02;0,05;1,75;7,0;3,0;2,58;0,37;2,18;2,91;3,01;15,4;302,0;0,2;0,16;3,07;30,94;7,0;3,0;46,81;2,6;43,8;48,7;50,6;42,9;5476,0;21,79;17,08;8,93;4,27;7,0;3,0;40,71;1,2;39,8;42,1;43,1;45,2;56,5;68,1;77,3;91,9;4762,0;13,1;9,8;2,1;2,1;7,0;3,0;13,07;4,1;8,4;16,2;14,37;63,4;1,92;1,93;16,2;17,5;1,213;0,986;0,331;0,108;429,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
17;11,0;5,5;22,4;91,6;0,03;0,03;0,08;3,84;7,0;3,0;6,26;0,63;5,55;6,69;7,31;37,3;572,0;0,15;0,23;5,03;43,31;7,0;3,0;73,44;3,2;69,8;75,3;79,4;67,3;6729,0;15,61;13,5;8,0;3,8;7,0;3,0;32,59;1,1;31,5;33,7;34,5;40,7;50,9;62,9;71,5;87,5;2987,0;8,7;6,8;2,1;2,1;7,0;3,0;8,66;2,2;7,1;11,1;9,52;39,3;1,92;1,93;16,2;17,5;0,896;0,746;0,268;0,094;348,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
18;11,0;5,1;29,0;121,4;0,03;0,02;0,05;1,54;7,0;3,0;2,25;0,35;1,88;2,56;2,62;13,4;273,0;0,31;0,17;2,82;29,39;7,0;3,0;43,8;2,5;41,0;45,6;47,4;40,2;5320,0;23,94;17,89;9,09;4,36;7,0;3,0;43,09;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;5231,0;13,4;11,2;2,1;2,1;7,0;3,0;13,38;4,5;8,4;16,9;14,72;65,6;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,11;444,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
19;11,0;5,1;29,0;121,4;0,03;0,02;0,05;1,54;7,0;3,0;2,25;0,35;1,88;2,56;2,62;13,4;273,0;0,31;0,17;2,82;29,39;7,0;3,0;43,8;2,5;41,0;45,6;47,4;40,2;5320,0;23,94;17,89;9,09;4,36;7,0;3,0;43,09;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;5231,0;13,4;11,2;2,1;2,1;7,0;3,0;13,38;4,5;8,4;16,9;14,72;65,6;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,11;444,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
20;11,0;5,1;29,0;121,4;0,03;0,02;0,05;1,54;7,0;3,0;2,25;0,35;1,88;2,56;2,62;13,4;273,0;0,31;0,17;2,82;29,39;7,0;3,0;43,8;2,5;41,0;45,6;47,4;40,2;5320,0;23,94;17,89;9,09;4,36;7,0;3,0;43,09;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;5231,0;13,4;11,2;2,1;2,1;7,0;3,0;13,38;4,5;8,4;16,9;14,72;65,6;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,11;444,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
21;11,0;5,1;29,0;121,4;0,03;0,02;0,05;1,54;7,0;3,0;2,25;0,35;1,88;2,56;2,62;13,4;273,0;0,31;0,17;2,82;29,39;7,0;3,0;43,8;2,5;41,0;45,6;47,4;40,2;5320,0;23,94;17,89;9,09;4,36;7,0;3,0;43,09;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;5231,0;13,4;11,2;2,1;2,1;7,0;3,0;13,38;4,5;8,4;16,9;14,72;65,6;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,11;444,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
