;GSDB_NO;B_P_RATIO;PRESSURE_RATIO;RATED_THRUST_KN_;HC_EI_T_O_G_KG_;HC_EI_C_O_G_KG_;HC_EI_APP_G_KG_;HC_EI_IDLE_G_KG_;HC_NUMBER_TEST;HC_NUMBER_ENG;HC_DP_FOO_AVG_G_KN_;HC_DP_FOO_SIGMA_G_KN_;HC_DP_FOO_MIN_G_KN_;HC_DP_FOO_MAX_G_KN_;HC_DP_FOO_CHARACTERISTIC_G_KN_;HC_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;HC_LTO_TOTAL_MASS_G_;CO_EI_T_O_G_KG_;CO_EI_C_O_G_KG_;CO_EI_APP_G_KG_;CO_EI_IDLE_G_KG_;CO_NUMBER_TEST;CO_NUMBER_ENG;CO_DP_FOO_AVG_G_KN_;CO_DP_FOO_SIGMA_G_KN_;CO_DP_FOO_MIN_G_KN_;CO_DP_FOO_MAX_G_KN_;CO_DP_FOO_CHARACTERISTIC_G_KN_;CO_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;CO_LTO_TOTAL_MASS_G_;NOX_EI_T_O_G_KG_;NOX_EI_C_O_G_KG_;NOX_EI_APP_G_KG_;NOX_EI_IDLE_G_KG_;NOX_NUMBER_TEST;NOX_NUMBER_ENG;NOX_DP_FOO_AVG_G_KN_;NOX_DP_FOO_SIGMA_G_KN_;NOX_DP_FOO_MIN_G_KN_;NOX_DP_FOO_MAX_G_KN_;NOX_DP_FOO_CHARACTERISTIC_G_KN_;NOX_DP_FOO_CHARACTERISTIC_OF_ORIGINAL_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_2_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_4_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_6_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_8_STANDARD_;NOX_LTO_TOTAL_MASS_G_;SN_T_O;SN_C_O;SN_APP;SN_IDLE;SN_NUMBER_TEST;SN_NUMBER_ENG;SN_MAX;SN_SIGMA;SN_RANGE_MIN;SN_RANGE_MAX;SN_CHARACTERISTIC;SN_CHARACTERISTIC_OF_REG_LIMIT_;FUEL_H_C_RATIO_MIN;FUEL_H_C_RATIO_MAX;FUEL_AROM_MIN_;FUEL_AROM_MAX_;FUEL_FLOW_T_O_KG_SEC_;FUEL_FLOW_C_O_KG_SEC_;FUEL_FLOW_APP_KG_SEC_;FUEL_FLOW_IDLE_KG_SEC_;FUEL_LTO_CYCLE_KG_;LOADS_POWER_EXTRACTION_KW_;AMBIENT_BARO_MIN_KPA_;AMBIENT_BARO_MAX_KPA_;AMBIENT_TEMP_MIN_K_;AMBIENT_TEMP_MAX_K_;HUMIDITY_MIN_KG_KG_;HUMIDITY_MAX_KG_KG_
0;1;2.64;13.9;15.6;0.114;0.128;4.26;20.04;3.0;3.0;53.4;1.3648235897417043;50.0;58.0;62.3;317.6;823.0;1.394;2.03;22.38;58.6;3.0;3.0;169.4;3.397460708166665;161.0;177.0;183.2;155.3;2612.0;15.25;13.08;5.9;2.82;3.0;3.0;40.5;1.2938656402811686;39.0;43.0;42.9;63.3;79.1;75.9;76.2;78.2;630.0;7.122329283837266;5.618095166767745;2.222712836080103;1.1938067933582894;4.74601226993865;2.3186274509803924;8.550750716992377;1.587896299501851;6.078492509363296;9.03756554307116;9.979834416051471;46.3025721232547;1.9017672793854248;1.9062501691192648;17.0;17.0;0.205;0.173;0.067;0.024;85.0;0.0;96.7;98.1;285.0;288.0;0.0066;0.0087
1;1;2.64;14.3;16.5;0.062;0.072;1.41;9.04;4.0;4.0;24.0;1.3648235897417043;19.0;25.0;27.4;139.8;393.0;1.13;1.62;15.56;47.7;4.0;4.0;137.7;3.397460708166665;133.0;147.0;147.3;124.8;2254.0;19.15;16.02;6.92;3.72;4.0;4.0;51.4;1.2938656402811686;47.0;55.0;54.0;78.7;98.4;94.7;93.4;96.0;845.0;7.122329283837266;5.618095166767745;2.222712836080103;1.1938067933582894;4.74601226993865;2.3186274509803924;8.550750716992377;1.587896299501851;6.078492509363296;9.03756554307116;9.979834416051471;46.3025721232547;1.9017672793854248;1.9062501691192648;17.0;17.0;0.225;0.186;0.072;0.026;92.0;0.0;97.0;97.3;294.0;313.0;0.0039;0.0073
2;1;0.85;18.4;66.64;0.12;0.14;1.5;43.6;2.0;1.0;134.9;1.3648235897417043;4.747518382352942;7.306158088235294;207.8;1060.0;8992.0;2.7;3.2;14.5;60.3;2.0;1.0;209.9;3.397460708166665;38.92056776556776;45.70531135531135;257.6;218.3;13989.0;19.1;16.3;7.0;3.6;2.0;1.0;65.1;1.2938656402811686;46.40532967032968;94.39452380952382;75.5;98.3;122.8;141.9;152.8;177.2;4338.0;33.0;35.0;27.0;8.0;1.0;1.0;35.0;1.587896299501851;6.078492509363296;9.03756554307116;45.1;170.3;2.0;2.0;19.3;19.3;1.15;0.975;0.35;0.13;464.0;0.0;103.0;103.0;293.0;293.0;0.01048;0.01048
3;1;2.2;19.45;117.6;0.7;0.8;2.7;13.3;7.0;4.0;41.4;8.6;4.747518382352942;7.306158088235294;47.2;241.0;4874.0;2.2;2.8;15.4;62.4;7.0;4.0;195.0;11.1;38.92056776556776;45.70531135531135;208.6;176.8;22932.0;16.5;13.5;6.3;3.3;7.0;4.0;47.1;6.6;46.40532967032968;94.39452380952382;49.5;62.7;78.4;98.8;112.2;140.4;5510.0;17.5;19.5;16.0;6.5;1.0;1.0;19.5;1.587896299501851;6.078492509363296;9.03756554307116;25.1;110.9;2.0;2.0;19.0;19.0;1.67;1.42;0.49;0.21;703.0;0.0;102.7;103.1;284.0;289.0;0.00748;0.00748
4;1;2.35;17.4;112.7;0.3;0.4;1.2;10.5;5.0;5.0;33.3;6.55;4.747518382352942;7.306158088235294;37.4;191.0;3753.0;2.8;3.7;11.8;54.0;5.0;5.0;180.5;33.4;38.92056776556776;45.70531135531135;191.7;162.5;20341.0;16.3;12.6;5.1;2.7;5.0;5.0;41.9;3.15;46.40532967032968;94.39452380952382;43.8;58.6;73.2;93.5;106.3;135.3;4720.0;7.122329283837266;5.618095166767745;2.222712836080103;1.1938067933582894;1.0;1.0;22.9;1.587896299501851;6.078492509363296;9.03756554307116;29.5;128.7;2.0;2.0;18.6;18.6;1.52;1.3;0.5;0.215;691.0;0.0;102.6;102.7;292.0;294.0;0.00788;0.00788
5;1;2.3;17.0;107.5;0.4;0.5;1.9;12.7;2.0;2.0;40.8;5.0;4.747518382352942;7.306158088235294;53.1;270.9;4389.0;3.0;3.6;18.2;77.7;2.0;2.0;257.0;21.8;38.92056776556776;45.70531135531135;292.8;248.1;27627.0;14.5;11.6;5.1;2.9;2.0;2.0;36.7;2.5;46.40532967032968;94.39452380952382;40.4;54.5;68.2;87.4;99.3;127.0;4000.0;7.122329283837266;5.618095166767745;2.222712836080103;1.1938067933582894;4.74601226993865;2.3186274509803924;8.550750716992377;1.587896299501851;6.078492509363296;9.03756554307116;9.979834416051471;46.3025721232547;2.0;2.0;18.0;18.0;1.42;1.1;0.42;0.207;629.0;0.0;102.3;102.6;289.0;291.0;0.01119;0.01119
6;1;5.0;30.85;156.9;0.12;0.12;0.2;0.3;3.0;1.0;0.9;1.3648235897417043;4.747518382352942;7.306158088235294;1.4;7.1;138.0;0.35;0.4;0.9;6.9;3.0;1.0;13.6;3.397460708166665;38.92056776556776;45.70531135531135;16.7;14.1;2123.0;37.0;31.5;11.8;5.8;3.0;1.0;74.2;1.2938656402811686;46.40532967032968;94.39452380952382;86.0;84.6;105.7;125.2;141.8;166.0;11648.0;7.122329283837266;5.618095166767745;2.222712836080103;1.1938067933582894;3.0;1.0;13.0;1.587896299501851;6.078492509363296;9.03756554307116;16.7;80.0;2.0;2.0;19.0;19.0;1.739;1.431;0.489;0.178;657.0;0.0;102.9;104.0;281.0;285.0;0.00348;0.00607
7;13;4.48;30.8;154.6;0.1;0.13;0.79;1.32;4.0;4.0;3.04;1.3648235897417043;1.64;6.61;4.66;23.78;470.2;0.41;0.45;1.2;15.18;4.0;4.0;27.27;3.397460708166665;25.44;30.3;32.98;27.95;4216.1;30.52;23.33;8.96;4.92;4.0;4.0;53.6;1.2938656402811686;52.25;54.81;57.39;56.49;70.61;83.66;94.77;110.96;8287.0;6.75;7.82;5.06;0.23;4.0;4.0;7.82;1.587896299501851;6.835;9.37;8.6;40.94;1.95;1.95;14.9;14.9;1.532;1.279;0.511;0.1675;617.112;0.0;97.84;98.68;289.2;294.8;0.00595;0.01297
8;13;4.32;31.23;156.95;0.11;0.14;0.21;2.88;3.0;2.0;5.23;0.0;4.98;5.55;6.8;34.7;820.0;0.44;0.65;1.91;16.79;3.0;2.0;30.76;0.0;28.46;31.84;35.1;29.7;4825.0;32.7;25.52;9.31;4.3;3.0;2.0;50.34;0.0;46.7;53.6;55.4;54.5;68.1;80.7;91.7;105.4;7902.0;15.45;16.24;12.12;1.17;3.0;2.0;16.24;0.0;14.75;17.96;17.6;0.8;1.95;1.95;14.3;14.3;1.38;1.117;0.491;0.171;590.0;0.0;97.8;101.0;275.0;297.5;0.00267;0.0129
9;13;4.36;33.79;169.7;0.1;0.1;0.16;0.72;4.0;4.0;1.42;1.3648235897417043;1.4;1.46;1.62;8.27;240.7;0.38;0.4;1.07;12.91;4.0;4.0;22.03;3.397460708166665;21.1;23.17;23.57;19.97;3739.1;35.69;26.68;9.88;4.92;4.0;4.0;58.04;1.2938656402811686;55.71;60.94;60.99;56.69;70.87;81.78;91.66;105.7;9847.1;14.1;16.005;13.17;0.56;4.0;4.0;16.005;1.587896299501851;15.31;17.12;18.77;91.65;1.95;1.95;14.9;14.9;1.654;1.354;0.533;0.174;647.556;0.0;97.84;100.75;284.0;297.5;0.00595;0.01015
